comando,texto
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Gracias.
modoSuper,Entrando al modo super. Solicitud recibida.
siguienteMelodia,Reproduciendo la siguiente melodía. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
abrirPuerta,Iniciando apertura de la puerta. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Ejecutando ahora.
siguienteMelodia,Cambiando a la melodía siguiente. Gracias.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Acción confirmada.
modoNormal,Regresando al modo estándar. Gracias.
modoSuper,Activando estado de máximo nivel. Gracias.
modoNormal,Modo normal activado. Por favor.
modoNormal,Regresando al modo estándar. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical.
abrirPuerta,Iniciando apertura de la puerta. Gracias.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
apagarLuces,Apagando luces del hogar. Acción confirmada.
modoNormal,Regresando al modo estándar. Procesando.
modoNormal,Regresando al modo estándar. Solicitud recibida.
encenderLuces,Las luces han sido encendidas. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Procesando.
encenderLuces,Encendiendo luces del hogar. Por favor.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
anteriorMelodia,Volviendo a la pista anterior. Solicitud recibida.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
modoNormal,Modo normal activado. Procesando.
abrirPuerta,Abriendo puerta principal. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
modoSuper,Activando estado de máximo nivel. Gracias.
siguienteMelodia,Cambiando a la melodía siguiente. Procesando.
modoSuper,Activando estado de máximo nivel. Gracias.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
modoSuper,Entrando al modo super. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
modoNormal,Regresando al modo estándar. Ejecutando ahora.
encenderLuces,Encendiendo luces del hogar. Procesando.
cerrarPuerta,Cerrando puerta principal. Gracias.
encenderLuces,Las luces han sido encendidas. Gracias.
modoSuper,Activando estado de máximo nivel. Solicitud recibida.
siguienteMelodia,Cambiando a la melodía siguiente. Por favor.
modoNormal,Regresando al modo estándar. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Procesando.
modoSuper,Activando estado de máximo nivel. Gracias.
encenderLuces,Encendiendo luces del hogar. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Por favor.
modoSuper,Activando estado de máximo nivel. Ejecutando ahora.
modoSuper,Modo super activado. Por favor.
cerrarPuerta,Cerrando puerta principal. Gracias.
abrirPuerta,Accionando mecanismo para abrir la puerta.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Acción confirmada.
siguienteMelodia,Cambiando a la melodía siguiente. Acción confirmada.
siguienteMelodia,Avanzando a la siguiente pista musical. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
modoSuper,Modo super activado. Ejecutando ahora.
modoSuper,Entrando al modo super. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
modoNormal,Regresando al modo estándar. Solicitud recibida.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
encenderLuces,Encendiendo luces del hogar.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
modoNormal,Modo normal activado.
siguienteMelodia,Cambiando a la melodía siguiente. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Gracias.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta.
abrirPuerta,Abriendo puerta principal. Por favor.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
modoSuper,Modo super activado. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
cerrarPuerta,Cerrando puerta principal. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
anteriorMelodia,Volviendo a la pista anterior. Acción confirmada.
encenderLuces,Activando iluminación general. Por favor.
cerrarPuerta,Iniciando cierre de la puerta. Procesando.
siguienteMelodia,Avanzando a la siguiente pista musical. Procesando.
encenderLuces,Encendiendo luces del hogar.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
cerrarPuerta,Iniciando cierre de la puerta.
siguienteMelodia,Reproduciendo la siguiente melodía.
modoSuper,Activando estado de máximo nivel. Gracias.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
encenderLuces,Activando iluminación general. Procesando.
encenderLuces,Activando iluminación general. Por favor.
modoSuper,Modo super activado. Procesando.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
modoNormal,Regresando al modo estándar. Acción confirmada.
modoSuper,Modo super activado. Solicitud recibida.
modoNormal,Modo normal activado. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Por favor.
anteriorMelodia,Volviendo a la pista anterior. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Por favor.
modoSuper,Activando estado de máximo nivel. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema.
encenderLuces,Encendiendo luces del hogar. Gracias.
siguienteMelodia,Cambiando a la melodía siguiente. Procesando.
apagarLuces,Las luces han sido apagadas. Procesando.
apagarLuces,Desactivando iluminación general.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
encenderLuces,Las luces han sido encendidas.
modoNormal,Regresando al modo estándar. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
modoSuper,Entrando al modo super. Solicitud recibida.
siguienteMelodia,Reproduciendo la siguiente melodía. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Solicitud recibida.
encenderLuces,Encendiendo luces del hogar. Gracias.
modoSuper,Activando estado de máximo nivel. Solicitud recibida.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
apagarLuces,Las luces han sido apagadas. Procesando.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
anteriorMelodia,Reproduciendo la melodía anterior. Solicitud recibida.
abrirPuerta,Abriendo puerta principal.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Acción confirmada.
encenderLuces,Activando iluminación general. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa. Gracias.
cerrarPuerta,Cerrando puerta principal. Por favor.
apagarLuces,Desactivando iluminación general. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Gracias.
modoSuper,Activando estado de máximo nivel. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
anteriorMelodia,Volviendo a la pista anterior. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
apagarLuces,Desactivando iluminación general.
anteriorMelodia,Volviendo a la pista anterior. Procesando.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
apagarLuces,Las luces han sido apagadas. Procesando.
modoSuper,Entrando al modo super. Solicitud recibida.
apagarLuces,Desactivando iluminación general. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Gracias.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
cerrarPuerta,Cerrando puerta principal. Gracias.
modoNormal,Regresando al modo estándar. Por favor.
modoSuper,Modo super activado. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
modoNormal,Modo normal activado. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
modoSuper,Entrando al modo super. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
apagarLuces,Apagando luces del hogar. Por favor.
encenderLuces,Activando iluminación general. Por favor.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
modoSuper,Entrando al modo super. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
abrirPuerta,Iniciando apertura de la puerta.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
apagarLuces,Apagando luces del hogar. Acción confirmada.
modoSuper,Entrando al modo super. Por favor.
encenderLuces,Encendiendo luces del hogar.
abrirPuerta,Abriendo puerta principal. Por favor.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Procesando.
apagarLuces,Las luces han sido apagadas. Iniciando proceso.
modoSuper,Modo super activado. Procesando.
cerrarPuerta,Cerrando puerta principal. Procesando.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
modoNormal,Regresando al modo estándar.
encenderLuces,Las luces han sido encendidas. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa.
siguienteMelodia,Reproduciendo la siguiente melodía.
encenderLuces,Encendiendo luces del hogar. Ejecutando ahora.
modoNormal,Modo normal activado. Iniciando proceso.
modoNormal,Modo normal activado. Procesando.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
apagarLuces,Desactivando iluminación general. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
siguienteMelodia,Reproduciendo la siguiente melodía.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
apagarLuces,Desactivando iluminación general. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta.
anteriorMelodia,Reproduciendo la melodía anterior. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Procesando.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
modoNormal,Regresando al modo estándar. Procesando.
modoNormal,Regresando al modo estándar. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Solicitud recibida.
abrirPuerta,Accionando mecanismo para abrir la puerta.
anteriorMelodia,Reproduciendo la melodía anterior. Acción confirmada.
modoSuper,Entrando al modo super.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
encenderLuces,Encendiendo luces del hogar. Ejecutando ahora.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
encenderLuces,Activando iluminación general. Acción confirmada.
modoSuper,Modo super activado. Iniciando proceso.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
apagarLuces,Las luces han sido apagadas.
abrirPuerta,Abriendo puerta principal. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Gracias.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Solicitud recibida.
modoSuper,Entrando al modo super. Procesando.
modoSuper,Entrando al modo super. Procesando.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Gracias.
modoNormal,Modo normal activado. Gracias.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Iniciando proceso.
apagarLuces,Las luces han sido apagadas. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
modoSuper,Modo super activado. Acción confirmada.
siguienteMelodia,Avanzando a la siguiente pista musical.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
siguienteMelodia,Reproduciendo la siguiente melodía.
modoSuper,Entrando al modo super. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Por favor.
modoNormal,Reestableciendo estado normal del sistema.
modoSuper,Activando estado de máximo nivel.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Gracias.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
apagarLuces,Las luces han sido apagadas. Procesando.
modoSuper,Entrando al modo super.
anteriorMelodia,Volviendo a la pista anterior. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Ejecutando ahora.
modoSuper,Entrando al modo super.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
modoSuper,Activando estado de máximo nivel. Iniciando proceso.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
cerrarPuerta,Cerrando puerta principal. Gracias.
modoNormal,Regresando al modo estándar. Solicitud recibida.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
modoSuper,Entrando al modo super. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
apagarLuces,Apagando luces del hogar. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Iniciando proceso.
abrirPuerta,Iniciando apertura de la puerta. Gracias.
modoNormal,Modo normal activado. Acción confirmada.
modoNormal,Modo normal activado. Gracias.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
modoNormal,Regresando al modo estándar. Gracias.
cerrarPuerta,Iniciando cierre de la puerta.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
modoNormal,Modo normal activado. Iniciando proceso.
modoSuper,Modo super activado. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
modoSuper,Modo super activado. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema.
apagarLuces,Apagando luces del hogar. Procesando.
apagarLuces,Desactivando iluminación general. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
modoSuper,Entrando al modo super. Gracias.
modoNormal,Regresando al modo estándar. Procesando.
modoNormal,Regresando al modo estándar. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
modoSuper,Entrando al modo super. Ejecutando ahora.
modoNormal,Modo normal activado. Ejecutando ahora.
encenderLuces,Las luces han sido encendidas. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
apagarLuces,Las luces han sido apagadas. Gracias.
modoSuper,Entrando al modo super. Procesando.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Gracias.
modoNormal,Modo normal activado. Ejecutando ahora.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
anteriorMelodia,Volviendo a la pista anterior. Procesando.
modoNormal,Regresando al modo estándar. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
modoSuper,Activando estado de máximo nivel. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Ejecutando ahora.
siguienteMelodia,Avanzando a la siguiente pista musical. Gracias.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
modoSuper,Entrando al modo super. Por favor.
encenderLuces,Encendiendo luces del hogar. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Solicitud recibida.
siguienteMelodia,Avanzando a la siguiente pista musical. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
modoNormal,Regresando al modo estándar. Ejecutando ahora.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
apagarLuces,Apagando luces del hogar. Por favor.
modoNormal,Modo normal activado. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
encenderLuces,Encendiendo luces del hogar.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Gracias.
anteriorMelodia,Reproduciendo la melodía anterior.
apagarLuces,Las luces han sido apagadas. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior.
encenderLuces,Las luces han sido encendidas. Por favor.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
modoSuper,Activando estado de máximo nivel. Iniciando proceso.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
anteriorMelodia,Volviendo a la pista anterior. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Por favor.
encenderLuces,Encendiendo luces del hogar. Por favor.
modoSuper,Entrando al modo super. Por favor.
apagarLuces,Apagando luces del hogar.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Procesando.
anteriorMelodia,Reproduciendo la melodía anterior. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Por favor.
encenderLuces,Encendiendo luces del hogar. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Iniciando proceso.
siguienteMelodia,Cambiando a la melodía siguiente.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
modoSuper,Entrando al modo super. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía.
anteriorMelodia,Retrocediendo a la melodía previa.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
modoSuper,Activando estado de máximo nivel. Procesando.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
modoSuper,Activando estado de máximo nivel. Gracias.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
encenderLuces,Encendiendo luces del hogar. Por favor.
modoNormal,Modo normal activado. Procesando.
apagarLuces,Las luces han sido apagadas. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
modoNormal,Modo normal activado.
apagarLuces,Desactivando iluminación general. Acción confirmada.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
modoSuper,Entrando al modo super. Ejecutando ahora.
encenderLuces,Activando iluminación general. Procesando.
anteriorMelodia,Reproduciendo la melodía anterior. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
modoNormal,Modo normal activado. Por favor.
modoSuper,Entrando al modo super. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
modoNormal,Modo normal activado. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Gracias.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
apagarLuces,Desactivando iluminación general. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
anteriorMelodia,Retrocediendo a la melodía previa.
apagarLuces,Las luces han sido apagadas. Gracias.
apagarLuces,Desactivando iluminación general. Solicitud recibida.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
abrirPuerta,Abriendo puerta principal.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
encenderLuces,Activando iluminación general. Solicitud recibida.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
modoNormal,Modo normal activado. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
modoSuper,Entrando al modo super. Ejecutando ahora.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
cerrarPuerta,Cerrando puerta principal.
siguienteMelodia,Avanzando a la siguiente pista musical.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Procesando.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal. Procesando.
apagarLuces,Apagando luces del hogar. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
modoSuper,Activando estado de máximo nivel. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
modoSuper,Modo super activado. Acción confirmada.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Gracias.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
abrirPuerta,Iniciando apertura de la puerta. Gracias.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
modoNormal,Regresando al modo estándar. Gracias.
modoSuper,Entrando al modo super. Procesando.
modoNormal,Regresando al modo estándar. Por favor.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
apagarLuces,Apagando luces del hogar. Acción confirmada.
siguienteMelodia,Cambiando a la melodía siguiente. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Iniciando proceso.
anteriorMelodia,Volviendo a la pista anterior. Acción confirmada.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
modoSuper,Modo super activado. Ejecutando ahora.
